poet_name,poem_count,total_words,total_verses,avg_words_per_poem,avg_verses_per_poem
الأشعث بن عابس,1,41,8,41.0,8.0
ابن عمرو الكندي,1,330,68,330.0,68.0
ابن زرعة الباهلي,1,202,42,202.0,42.0
أبو أذينه,1,151,28,151.0,28.0
الجندل الفزاري,1,23,4,23.0,4.0
الأعرج المري,1,50,10,50.0,10.0
الأعور بن عمرو الازدي,1,21,4,21.0,4.0
ابن جوين الطائي,1,234,64,234.0,64.0
ابن مالك الحميري,1,78,20,78.0,20.0
ابن كلاب العقيلي,1,27,6,27.0,6.0
أبو عفك,1,34,8,34.0,8.0
أروى بنت الحباب,1,26,6,26.0,6.0
أربد الذبياني,1,36,8,36.0,8.0
أرطأة الفزاري,1,19,4,19.0,4.0
أربد بن ضابئ,1,29,6,29.0,6.0
أسماء المرية,1,91,18,91.0,18.0
أسماء التغلبية,1,258,58,258.0,58.0
أزبر بن غزي,1,24,4,24.0,4.0
الأحبش التميمي,1,14,3,14.0,3.0
الأخضر الفزاري,1,21,4,21.0,4.0
الأخنس التغلبي,1,259,52,259.0,52.0
الأدير الكلبي,1,31,6,31.0,6.0
ابن الرعلاء,1,51,12,51.0,12.0
أبو بثينه الهذلي,1,56,12,56.0,12.0
أبو حمضة اليهودي,1,31,8,31.0,8.0
أبو حنش التغلبي,1,24,6,24.0,6.0
أبو حية الفزاري,1,16,3,16.0,3.0
أبو حسان الفزاري,1,9,2,9.0,2.0
أبو عدي النمري,1,363,72,363.0,72.0
أبو قردودة الطائي,1,248,62,248.0,62.0
أخت الأسود بن غفار,1,34,6,34.0,6.0
وهيبة بنت عبد العزى,1,43,10,43.0,10.0
يزيد بن قنافة,1,36,8,36.0,8.0
يزيد بن الرومي العتكي,1,33,8,33.0,8.0
ياسر الخيبري,1,23,5,23.0,5.0
يزيد بن الصعق,1,19,4,19.0,4.0
ابنة حكيم بن عمرو العبدية,1,41,8,41.0,8.0
ابنة أبي الجدعاء,1,83,16,83.0,16.0
الأسلوم اليامي,1,29,6,29.0,6.0
العوراء الذبيانية,1,23,6,23.0,6.0
العنبر الخضم,1,15,3,15.0,3.0
العقار بن سليل,1,96,18,96.0,18.0
العجلان بن خليد,1,32,6,32.0,6.0
السلكة أم السليك,1,76,24,76.0,24.0
الربيع بن عقيل,1,47,10,47.0,10.0
الربيع بن زياد الكلبي,1,10,2,10.0,2.0
الراشاء بن نهار,1,11,2,11.0,2.0
الخنساء بنت زهير,1,29,6,29.0,6.0
الراعي المري,1,58,12,58.0,12.0
الحشاش الأصغر,1,30,6,30.0,6.0
الحارث بن مر,1,9,2,9.0,2.0
الحسل الهمداني,1,39,10,39.0,10.0
الحكم الفزاري,1,32,6,32.0,6.0
الحارث بن زهير,1,18,4,18.0,4.0
هبل الكلبي,1,19,4,19.0,4.0
الهذيل بن أم عفاش,1,9,2,9.0,2.0
الهذلول بن كعب,1,74,16,74.0,16.0
الهدم بن امرئ القيس,1,69,12,69.0,12.0
الهجرس التغلبي,1,31,6,31.0,6.0
النابغة الغنوي,1,20,4,20.0,4.0
النوار الجل,1,10,2,10.0,2.0
النابغة التغلبي,1,27,6,27.0,6.0
النابغة الحارثي,1,99,22,99.0,22.0
المسجاح الضبي,1,34,8,34.0,8.0
المفضل النكري,1,331,78,331.0,78.0
القعقاع بن شبث اليهودي,1,20,4,20.0,4.0
العوراء اليربوعية,1,60,14,60.0,14.0
المثلم بن عمرو التنوخي,1,47,10,47.0,10.0
المثلم الفزاري,1,31,6,31.0,6.0
المحيا الهمداني,1,8,2,8.0,2.0
المرار الكلبي,1,34,6,34.0,6.0
الكذاب الطابخي,1,20,4,20.0,4.0
الكذاب الكلبي,1,15,4,15.0,4.0
ابن عليق الطائي,1,328,66,328.0,66.0
ابن شعواء الفزاري,1,11,2,11.0,2.0
الدعجاء بنت وهب,1,363,68,363.0,68.0
الدحداحة الفقيمية,1,39,10,39.0,10.0
آمنة بنت عتيبة,1,26,6,26.0,6.0
أميمة بنت أمية,1,127,34,127.0,34.0
أوس الهجيمي,1,191,42,191.0,42.0
أميمة بنت عبد شمس,1,135,36,135.0,36.0
أميمة بنت عبد المطلب,1,69,12,69.0,12.0
امرؤ القيس السكوني,1,426,88,426.0,88.0
امرؤ القيس الزهيري,1,19,4,19.0,4.0
أم أبي جدابة,1,107,24,107.0,24.0
أم الأغر بنت ربيعة التغلبية,1,50,12,50.0,12.0
الوقي الهمداني,1,23,6,23.0,6.0
يربوع بن حنظلة,1,33,6,33.0,6.0
بيهس الغطفاني,1,305,68,305.0,68.0
بشير بن النكث,1,40,10,40.0,10.0
أوس العبدي,1,60,12,60.0,12.0
بدر الفزاري,1,67,12,67.0,12.0
برة بنت عبد المطلب,1,52,12,52.0,12.0
بسام بن شريح,1,11,2,11.0,2.0
بشر الفزاري,1,136,26,136.0,26.0
أوس بن حارثة,1,31,6,31.0,6.0
بداء بن سليمان,1,26,6,26.0,6.0
امرؤ القيس الكلبي,1,60,12,60.0,12.0
هند بنت ابن عامر الأسلمي,1,28,6,28.0,6.0
